video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
IjdboniG030,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1634203801.0,"Delhi Electric Vehicle Subsidy, Eligible Vehicles, How to Apply &amp; Claim upto Rs 30,000 ➡ JustEV",Join our First Live QnA at https://youtu.be/GBAsX5WG-gA Latest EV's in India - https://justev.info SUBSCRIBE JustEV Hindi ...,,https://i.ytimg.com/vi/IjdboniG030/hqdefault.jpg,2023-12-02 21:46:47.636680
oGzwSi4dCx0,PK 2.0,UCZHu12bxOGN44QODdVIhQXg,1616499682.0,Electric Cars in Pakistan | Electric Vehicle Policy 2021 | EV in Pakistan | Latest News About EV,Electric Cars in Pakistan | Electric Vehicle Policy 2021 | EV in Pakistan | Latest News About EV.,,https://i.ytimg.com/vi/oGzwSi4dCx0/hqdefault.jpg,2023-12-02 21:46:47.636698
loqjzCUwTWw,JustEV English,UC-m9lwLEkiudLvK5ZpFmWBw,1630838035.0,"EV News #1 - Registration Fees, Electric XUV700, Maharastra EV Policy, Tata Tigor EV, Audi e-tron GT",Latest EV's in India - https://justev.info SUBSCRIBE #JustEV Hindi - https://bit.ly/JustEVhin & English https://bit.ly/JustEVeng Follow ...,,https://i.ytimg.com/vi/loqjzCUwTWw/hqdefault.jpg,2023-12-02 21:46:47.636717
opO4A7c2PvY,STUDY AND LEARN WITH GANPAT,UC1HoGathaxfJ44cglkp70Wg,1624604829.0,Environmental Science Lecture Series Gujarat EV Policy 2021,Like Subscribe and Share my channel videos for basics of Environmental Science.,,https://i.ytimg.com/vi/opO4A7c2PvY/hqdefault.jpg,2023-12-02 21:46:47.636734
-o5-D5EzrSI,Owl WiS,UCgYM5-3Q0oZ38XBYlgbc4JQ,1637578801.0,"Indian states electric vehicle policy | Delhi, Gujarat, Maharashtra, Rajasthan ev policy","Hi everyone!! In order to encourage people to buy electric vehicles, along with government of India, the state governments have ...",,https://i.ytimg.com/vi/-o5-D5EzrSI/hqdefault.jpg,2023-12-02 21:46:47.636751
R21FEjY36Ak,EV Gyan,UC11Baiogm-m6Pfu_XLBiLmw,1614540659.0,EV TALKS #205 | OKINAWA KI MOTORCYCLE | Delhi Ev policy | Atum 1.0 bike delivered 🔥,EV TALKS #205 | OKINAWA KI MOTORCYCLE | Delhi Ev policy | Atum 1.0 bike delivered MY NEW BACKUP CHANNEL ...,,https://i.ytimg.com/vi/R21FEjY36Ak/hqdefault.jpg,2023-12-02 21:46:47.636767
HxtI9vsMDQ4,Auto Aspects,UCP7D2CXilpbXHR3zq1HK5qg,1631260262.0,State Wise Electric Vehicle Policy Comparison | Indian States EV Policy | AutoAspects,IndiaEVpolicy #EVPolicyIndia #ElectricVehiclePolicy This video throws light on the key Electric Vehicle policy adapted by Different ...,,https://i.ytimg.com/vi/HxtI9vsMDQ4/hqdefault.jpg,2023-12-02 21:46:47.636784
aur5STT_6Vg,Tamil Pangu Sandhai,UC76qy1Z0vZ0S7T67gJdhWjQ,1626291989.0,"ITC Annual report, Infosys result, Zomato IPO, EV Policy, EV Stocks, JBM Auto, Bajaj Auto, IPO GMP",Use below link to open Cryptocurrency Trading account ! WazirX : https://wazirx.com/invite/kyawaqye Use below links to ...,,https://i.ytimg.com/vi/aur5STT_6Vg/hqdefault.jpg,2023-12-02 21:46:47.636800
htfxVhQNh8k,Trakin Auto,UCF41McsJJRUMlZG-1hzOgQA,1631633408.0,"TVS Fiero 125 Coming, Maharashtra EV Policy, RE Shotgun &amp; Scram 400 Spotted,New Revolt RV400-#TAN86",Doston lekar aa gaye hain aap ke liye automobiles world ke latest and greatest news. To ye video aap ant tak jaroor dekhna na ...,,https://i.ytimg.com/vi/htfxVhQNh8k/hqdefault.jpg,2023-12-02 21:46:47.636817
gN_OwVAM9ZU,Equitymaster,UCuLyyxpAOqEsOYiNMapZNKg,1634289300.0,Why India has an Edge in EVs | Government Electric Vehicle Policy | India Could Dominate EVs,Get free access to our latest research idea instantly. Visit: http://www.eqtm.in/i7D9C What stands out is the level of innovation in ...,,https://i.ytimg.com/vi/gN_OwVAM9ZU/hqdefault.jpg,2023-12-02 21:46:47.636834
